symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
GULFOILLUB,INE635Q01029,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,1191.099976,200021026,1100000000224387,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.100006,200021010,1100000000224337,2025-04-29T09:15:00
TIMETECHNO,INE508G01029,2025-04-29,NSE,EQ,EQ,buy,false,6.000000,351.100006,600026209,1300000000219387,2025-04-29T09:15:00
JINDALSAW,INE324A01032,2025-04-29,NSE,EQ,EQ,buy,false,1.000000,261.049988,200021009,1100000000224337,2025-04-29T09:15:00
GOLDBEES,INF204KB17I5,2025-04-30,NSE,EQ,EQ,buy,false,25.000000,80.059998,203754614,1100000031378821,2025-04-30T11:00:01
JINDALSAW,INE324A01032,2025-05-28,NSE,EQ,EQ,buy,false,16.000000,215.789993,200751077,1100000005039264,2025-05-28T09:23:56
GULFOILLUB,INE635Q01029,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,1174.599976,200751080,1100000005039286,2025-05-28T09:23:56
TIMETECHNO,INE508G01029,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,383.850006,600664350,1300000004315177,2025-05-28T09:23:56
AUROPHARMA,INE406A01037,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,1173.000000,505597,1000000003884458,2025-05-28T09:23:56
AVANTIFEED,INE871C01038,2025-05-28,NSE,EQ,EQ,buy,false,1.000000,857.500000,505598,1000000003884466,2025-05-28T09:23:56
GOLDBEES,INF204KB17I5,2025-06-02,NSE,EQ,EQ,buy,false,25.000000,79.830002,203057374,1100000022796788,2025-06-02T10:15:53
ARE&M,INE885A01032,2025-06-26,NSE,EQ,EQ,sell,false,11.000000,971.000000,4159320,1000000041095706,2025-06-26T12:51:49
TIMETECHNO,INE508G01029,2025-06-26,NSE,EQ,EQ,sell,false,3.000000,452.149994,604901758,1300000046548180,2025-06-26T12:51:49
MOTILALOFS,INE338I01027,2025-06-26,NSE,EQ,EQ,sell,false,18.000000,861.700012,404938681,1200000051210142,2025-06-26T12:51:49
AUROPHARMA,INE406A01037,2025-06-26,NSE,EQ,EQ,sell,false,10.000000,1121.099976,4159319,1000000041095697,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,8.000000,1273.300049,604901757,1300000046548137,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,28.000000,241.240005,205911590,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,2.000000,241.240005,205911591,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,241.229996,205911592,1100000052480630,2025-06-26T12:51:49
JINDALSAW,INE324A01032,2025-06-26,NSE,EQ,EQ,sell,false,28.000000,241.179993,205911593,1100000052480630,2025-06-26T12:51:49
AVANTIFEED,INE871C01038,2025-06-26,NSE,EQ,EQ,sell,false,6.000000,728.200012,4159322,1000000041095716,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901754,1300000046548137,2025-06-26T12:51:49
AVANTIFEED,INE871C01038,2025-06-26,NSE,EQ,EQ,sell,false,8.000000,728.200012,4159321,1000000041095716,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901755,1300000046548137,2025-06-26T12:51:49
UTIAMC,INE094J01016,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1273.599976,604901756,1300000046548137,2025-06-26T12:51:49
HGINFRA,INE926X01010,2025-06-26,NSE,EQ,EQ,sell,false,1.000000,1057.000000,205911594,1100000052480697,2025-06-26T12:51:49
HGINFRA,INE926X01010,2025-06-26,NSE,EQ,EQ,sell,false,8.000000,1057.000000,205911595,1100000052480697,2025-06-26T12:51:49
HGINFRA,INE926X01010,2025-06-26,NSE,EQ,EQ,sell,false,2.000000,1056.900024,205911596,1100000052480697,2025-06-26T12:51:49
LTFOODS,INE818H01020,2025-06-26,NSE,EQ,EQ,sell,false,4.000000,443.299988,404938682,1200000051210174,2025-06-26T12:51:49
MOIL,INE490G01020,2025-06-26,NSE,EQ,EQ,sell,false,12.000000,378.299988,404938678,1200000051210096,2025-06-26T12:51:49
MOIL,INE490G01020,2025-06-26,NSE,EQ,EQ,sell,false,21.000000,378.250000,404938679,1200000051210096,2025-06-26T12:51:49
MOIL,INE490G01020,2025-06-26,NSE,EQ,EQ,sell,false,2.000000,378.250000,404938680,1200000051210096,2025-06-26T12:51:49
TIMETECHNO,INE508G01029,2025-06-26,NSE,EQ,EQ,sell,false,3.000000,452.149994,604901759,1300000046548180,2025-06-26T12:51:49
EPL,INE255A01020,2025-06-26,NSE,EQ,EQ,buy,false,10.000000,236.979996,205912213,1100000052487136,2025-06-26T12:51:51
PARADEEP,INE088F01024,2025-06-26,NSE,EQ,EQ,buy,false,31.000000,161.789993,404939238,1200000051217933,2025-06-26T12:51:51
SHARDACROP,INE221J01015,2025-06-26,NSE,EQ,EQ,buy,false,9.000000,775.400024,604902310,1300000046554067,2025-06-26T12:51:51
SHARDACROP,INE221J01015,2025-06-26,NSE,EQ,EQ,buy,false,6.000000,775.400024,604902309,1300000046554067,2025-06-26T12:51:51
SHARDACROP,INE221J01015,2025-06-26,NSE,EQ,EQ,buy,false,1.000000,775.400024,604902308,1300000046554067,2025-06-26T12:51:51
MOTHERSON,INE775A01035,2025-06-26,NSE,EQ,EQ,buy,false,78.000000,153.039993,404939235,1200000051217892,2025-06-26T12:51:51
DEEPAKFERT,INE501A01019,2025-06-26,NSE,EQ,EQ,buy,false,8.000000,1597.599976,205912215,1100000052487221,2025-06-26T12:51:51
CASTROLIND,INE172A01027,2025-06-26,NSE,EQ,EQ,buy,false,55.000000,214.350006,4159820,1000000041101994,2025-06-26T12:51:51
CMSINFO,INE925R01014,2025-06-26,NSE,EQ,EQ,buy,false,12.000000,491.200012,4159819,1000000041101974,2025-06-26T12:51:51
CMSINFO,INE925R01014,2025-06-26,NSE,EQ,EQ,buy,false,13.000000,491.100006,4159818,1000000041101974,2025-06-26T12:51:51
HCLTECH,INE860A01027,2025-06-26,NSE,EQ,EQ,buy,false,7.000000,1710.099976,205912214,1100000052487200,2025-06-26T12:51:51
SHAKTIPUMP,INE908D01010,2025-06-26,NSE,EQ,EQ,buy,false,2.000000,952.450012,604902305,1300000046554037,2025-06-26T12:51:51
SHAKTIPUMP,INE908D01010,2025-06-26,NSE,EQ,EQ,buy,false,1.000000,952.599976,604902306,1300000046554037,2025-06-26T12:51:51
SHAKTIPUMP,INE908D01010,2025-06-26,NSE,EQ,EQ,buy,false,10.000000,952.599976,604902307,1300000046554037,2025-06-26T12:51:51
MPHASIS,INE356A01018,2025-06-26,NSE,EQ,EQ,buy,false,3.000000,2778.899902,404939236,1200000051217902,2025-06-26T12:51:51
MPHASIS,INE356A01018,2025-06-26,NSE,EQ,EQ,buy,false,1.000000,2779.500000,404939237,1200000051217902,2025-06-26T12:51:51
PARADEEP,INE088F01024,2025-06-26,NSE,EQ,EQ,buy,false,12.000000,161.809998,404939240,1200000051217933,2025-06-26T12:51:51
PARADEEP,INE088F01024,2025-06-26,NSE,EQ,EQ,buy,false,31.000000,161.800003,404939239,1200000051217933,2025-06-26T12:51:51
EPL,INE255A01020,2025-06-26,NSE,EQ,EQ,buy,false,40.000000,236.910004,205912212,1100000052487136,2025-06-26T12:51:51
LTFOODS,INE818H01020,2025-06-30,NSE,EQ,EQ,buy,false,1.000000,488.200012,406500776,1200000073030748,2025-06-30T14:40:46
EPL,INE255A01020,2025-06-30,NSE,EQ,EQ,buy,false,3.000000,243.669998,208375592,1100000073430958,2025-06-30T14:40:46
MOTHERSON,INE775A01035,2025-06-30,NSE,EQ,EQ,buy,false,5.000000,154.809998,406500775,1200000073030744,2025-06-30T14:40:46
CMSINFO,INE925R01014,2025-06-30,NSE,EQ,EQ,buy,false,1.000000,500.450012,6038355,1000000062033675,2025-06-30T14:40:46
PARADEEP,INE088F01024,2025-06-30,NSE,EQ,EQ,buy,false,7.000000,160.000000,406500777,1200000073030751,2025-06-30T14:40:46
TIMETECHNO,INE508G01029,2025-06-30,NSE,EQ,EQ,buy,false,3.000000,444.350006,607820413,1300000071344436,2025-06-30T14:40:46
SHAKTIPUMP,INE908D01010,2025-06-30,NSE,EQ,EQ,buy,false,1.000000,946.849976,607820412,1300000071344415,2025-06-30T14:40:46
CASTROLIND,INE172A01027,2025-06-30,NSE,EQ,EQ,buy,false,3.000000,221.289993,6038357,1000000062033728,2025-06-30T14:40:46
MOTHERSON,INE775A01035,2025-07-28,NSE,EQ,EQ,buy,false,5.000000,101.709999,400431435,1200000003033679,2025-07-28T09:19:53
HCLTECH,INE860A01027,2025-07-28,NSE,EQ,EQ,buy,false,1.000000,1480.500000,200454880,1100000003001661,2025-07-28T09:19:53
CEATLTD,INE482A01020,2025-07-28,NSE,EQ,EQ,buy,false,1.000000,3351.199951,359262,1000000002594965,2025-07-28T09:19:53
